i,step,speed,pwm
0,64037901,0.70,-430.48,1780
1,64039901,0.70,-430.48,1780
2,64041901,0.70,-430.48,1780
3,64043900,0.70,-387.43,1780
4,64045901,0.70,-387.43,1780
5,64047901,0.70,-387.43,1780
6,64049900,0.70,-348.69,1780
7,64051901,0.70,-348.69,1780
8,64053901,0.70,-348.69,1780
9,64055900,0.70,-313.82,1780
10,64057901,0.70,-313.82,1780
11,64059901,0.70,-313.82,1780
12,64061900,0.70,-282.44,1780
13,64063901,0.70,-282.44,1780
14,64065901,0.70,-282.44,1780
15,64067900,0.70,-254.19,1780
16,64069901,0.70,-254.19,1780
17,64071901,0.70,-254.19,1780
18,64073900,0.70,-228.77,1780
19,64075901,0.70,-228.77,1780
20,64077901,0.70,-228.77,1780
21,64079900,0.70,-205.90,1780
22,64081901,0.70,-205.90,1780
23,64083901,0.70,-205.90,1780
24,64085900,0.70,-185.31,1780
25,64087901,0.70,-185.31,1780
26,64089901,0.70,-185.31,1780
27,64091900,0.70,-166.78,1780
28,64093901,0.70,-166.78,1780
29,64095901,0.70,-166.78,1780
30,64097900,0.70,-150.10,1780
31,64099901,0.70,-150.10,1780
32,64101901,0.70,-150.10,1780
33,64103900,0.70,-135.09,1780
34,64105901,0.70,-135.09,1780
35,64107901,0.70,-135.09,1780
36,64109900,0.70,-121.58,1780
37,64111901,0.70,-121.58,1780
38,64113901,0.70,-121.58,1780
39,64115900,0.70,-109.42,1780
40,64117901,0.70,-109.42,1780
41,64119901,0.70,-109.42,1780
42,64121900,0.70,-98.48,1780
43,64123901,0.70,-98.48,1780
44,64125901,0.70,-98.48,1780
45,64127900,0.70,-88.63,1780
46,64129901,0.70,-88.63,1780
47,64131901,0.70,-88.63,1780
48,64133900,0.70,-79.77,1780
49,64135901,0.70,-79.77,1780
50,64137901,0.70,-79.77,1780
51,64139900,0.70,-71.79,1780
52,64141901,0.70,-71.79,1780
53,64143901,0.70,-71.79,1780
54,64145900,0.70,-64.61,1780
55,64147901,0.70,-64.61,1780
56,64149901,0.70,-64.61,1780
57,64151900,0.70,-58.15,1780
58,64153901,0.70,-58.15,1780
59,64155901,0.70,-58.15,1780
60,64157900,0.70,-52.34,1780
61,64159901,0.70,-52.34,1780
62,64161901,0.70,-52.34,1780
63,64163900,0.70,-45.06,1780
64,64165901,0.70,-45.06,1780
65,64167900,0.70,-45.06,1780
66,64169901,0.70,-36.63,1780
67,64171901,0.70,-36.63,1780
68,64173900,0.70,-36.63,1780
69,64175901,0.70,-29.96,1780
70,64177901,0.70,-29.96,1780
71,64179901,0.70,-29.96,1780
72,64181900,0.70,-27.08,1780
73,64183901,0.70,-27.08,1780
74,64185901,0.70,-27.08,1780
75,64187900,0.70,-27.16,1780
76,64189901,0.70,-27.16,1780
77,64191901,0.70,-27.16,1780
78,64193900,0.70,-28.08,1780
79,64195901,0.70,-28.08,1780
80,64197901,0.70,-28.08,1780
81,64199900,0.70,-28.16,1780
82,64201901,0.70,-28.16,1780
83,64203901,0.70,-28.16,1780
84,64205900,0.70,-30.34,1780
85,64207901,0.70,-30.34,1780
86,64209900,0.70,-30.34,1780
87,64211901,0.70,-33.67,1780
88,64213901,0.70,-33.67,1780
89,64215900,0.70,-33.67,1780
90,64217901,0.70,-37.52,1780
91,64219901,0.70,-37.52,1780
92,64221900,0.70,-37.52,1780
93,64223901,0.70,-41.32,1780
94,64225901,0.70,-41.32,1780
