i,step,speed,pwm
0,43228731,0.50,-243.70,1700
1,43230730,0.50,-243.70,1700
2,43232731,0.50,-243.70,1700
3,43234731,0.50,-219.33,1700
4,43236731,0.50,-219.33,1700
5,43238730,0.50,-219.33,1700
6,43240731,0.50,-197.40,1700
7,43242731,0.50,-197.40,1700
8,43244730,0.50,-197.40,1700
9,43246731,0.50,-177.66,1700
10,43248731,0.50,-177.66,1700
11,43250730,0.50,-177.66,1700
12,43252731,0.50,-159.89,1700
13,43254731,0.50,-159.89,1700
14,43256730,0.50,-159.89,1700
15,43258731,0.50,-143.90,1700
16,43260731,0.50,-143.90,1700
17,43262730,0.50,-143.90,1700
18,43264731,0.50,-129.51,1700
19,43266731,0.50,-129.51,1700
20,43268730,0.50,-129.51,1700
21,43270731,0.50,-116.56,1700
22,43272731,0.50,-116.56,1700
23,43274730,0.50,-116.56,1700
24,43276731,0.50,-104.91,1700
25,43278731,0.50,-104.91,1700
26,43280730,0.50,-104.91,1700
27,43282731,0.50,-94.42,1700
28,43284731,0.50,-94.42,1700
29,43286730,0.50,-94.42,1700
30,43288731,0.50,-84.97,1700
31,43290731,0.50,-84.97,1700
32,43292730,0.50,-84.97,1700
33,43294731,0.50,-76.48,1700
34,43296731,0.50,-76.48,1700
35,43298730,0.50,-76.48,1700
36,43300731,0.50,-68.83,1700
37,43302731,0.50,-68.83,1700
38,43304730,0.50,-68.83,1700
39,43306731,0.50,-61.95,1700
40,43308731,0.50,-61.95,1700
41,43310730,0.50,-61.95,1700
42,43312731,0.50,-55.75,1700
43,43314731,0.50,-55.75,1700
44,43316730,0.50,-55.75,1700
45,43318731,0.50,-50.18,1700
46,43320731,0.50,-50.18,1700
47,43322730,0.50,-50.18,1700
48,43324731,0.50,-45.16,1700
49,43326731,0.50,-45.16,1700
50,43328730,0.50,-45.16,1700
51,43330731,0.50,-40.64,1700
52,43332731,0.50,-40.64,1700
53,43334730,0.50,-40.64,1700
54,43336731,0.50,-37.77,1700
55,43338731,0.50,-37.77,1700
56,43340731,0.50,-37.77,1700
57,43342730,0.50,-37.80,1700
58,43344731,0.50,-37.80,1700
59,43346730,0.50,-37.80,1700
60,43348731,0.50,-37.94,1700
61,43350731,0.50,-37.94,1700
62,43352731,0.50,-37.94,1700
63,43354730,0.50,-33.41,1700
64,43356731,0.50,-33.41,1700
65,43358730,0.50,-33.41,1700
66,43360731,0.50,-26.60,1700
67,43362731,0.50,-26.60,1700
68,43364730,0.50,-26.60,1700
69,43366731,0.50,-23.03,1700
70,43368731,0.50,-23.03,1700
71,43370730,0.50,-23.03,1700
72,43372731,0.50,-23.63,1700
73,43374731,0.50,-23.63,1700
74,43376731,0.50,-23.63,1700
75,43378730,0.50,-26.49,1700
76,43380731,0.50,-26.49,1700
77,43382731,0.50,-26.49,1700
78,43384730,0.50,-30.37,1700
79,43386731,0.50,-30.37,1700
80,43388731,0.50,-30.37,1700
81,43390730,0.50,-34.50,1700
82,43392730,0.50,-34.50,1700
83,43394731,0.50,-34.50,1700
84,43396731,0.50,-38.83,1700
85,43398731,0.50,-38.83,1700
86,43400731,0.50,-38.83,1700
87,43402730,0.50,-42.90,1700
88,43404731,0.50,-42.90,1700
89,43406731,0.50,-42.90,1700
90,43408730,0.50,-46.85,1700
91,43410731,0.50,-46.85,1700
92,43412730,0.50,-46.85,1700
93,43414731,0.50,-50.46,1700
94,43416731,0.50,-50.46,1700
95,43418731,0.50,-50.46,1700
96,43420730,0.50,-53.82,1700
97,43422731,0.50,-53.82,1700
98,43424730,0.50,-53.82,1700
99,43426731,0.50,-56.85,1700
100,43428731,0.50,-56.85,1700
101,43430731,0.50,-56.85,1700
102,43432730,0.50,-59.52,1700
103,43434731,0.50,-59.52,1700
104,43436730,0.50,-59.52,1700
105,43438731,0.50,-62.31,1700
106,43440731,0.50,-62.31,1700
107,43442730,0.50,-62.31,1700
108,43444731,0.50,-66.48,1700
109,43446731,0.50,-66.48,1700
110,43448730,0.50,-66.48,1700
111,43450731,0.50,-71.14,1700
112,43452731,0.50,-71.14,1700
113,43454730,0.50,-71.14,1700
114,43456731,0.50,-76.12,1700
115,43458731,0.50,-76.12,1700
116,43460731,0.50,-76.12,1700
117,43462730,0.50,-83.63,1700
118,43464731,0.50,-83.63,1700
119,43466730,0.50,-83.63,1700
120,43468731,0.50,-92.87,1700
121,43470731,0.50,-92.87,1700
122,43472730,0.50,-92.87,1700
123,43474731,0.50,-103.02,1700
124,43476731,0.50,-103.02,1700
125,43478730,0.50,-103.02,1700
126,43480731,0.50,-114.53,1700
127,43482731,0.50,-114.53,1700
128,43484730,0.50,-114.53,1700
129,43486731,0.50,-126.83,1700
130,43488731,0.50,-126.83,1700
131,43490730,0.50,-126.83,1700
132,43492731,0.50,-139.60,1700
133,43494731,0.50,-139.60,1700
134,43496730,0.50,-139.60,1700
135,43498731,0.50,-152.85,1700
136,43500731,0.50,-152.85,1700
137,43502731,0.50,-152.85,1700
138,43504730,0.50,-166.55,1700
139,43506731,0.50,-166.55,1700
140,43508730,0.50,-166.55,1700
141,43510731,0.50,-180.34,1700
142,43512731,0.50,-180.34,1700
143,43514731,0.50,-180.34,1700
144,43516730,0.50,-194.07,1700
145,43518731,0.50,-194.07,1700
146,43520731,0.50,-194.07,1700
147,43522730,0.50,-207.84,1700
148,43524731,0.50,-207.84,1700
149,43526731,0.50,-207.84,1700
150,43528730,0.50,-221.49,1700
151,43530731,0.50,-221.49,1700
152,43532731,0.50,-221.49,1700
153,43534730,0.50,-235.24,1700
154,43536731,0.50,-235.24,1700
155,43538731,0.50,-235.24,1700
156,43540730,0.50,-248.48,1700
157,43542731,0.50,-248.48,1700
158,43544731,0.50,-248.48,1700
159,43546730,0.50,-261.13,1700
160,43548731,0.50,-261.13,1700
161,43550731,0.50,-261.13,1700
162,43552730,0.50,-273.02,1700
163,43554730,0.50,-273.02,1700
164,43556731,0.50,-273.02,1700
165,43558731,0.50,-284.01,1700
166,43560731,0.50,-284.01,1700
167,43562731,0.50,-284.01,1700
168,43564730,0.50,-294.36,1700
169,43566731,0.50,-294.36,1700
170,43568731,0.50,-294.36,1700
171,43570730,0.50,-303.79,1700
172,43572731,0.50,-303.79,1700
173,43574730,0.50,-303.79,1700
174,43576731,0.50,-312.49,1700
175,43578731,0.50,-312.49,1700
176,43580730,0.50,-312.49,1700
177,43582731,0.50,-320.55,1700
178,43584731,0.50,-320.55,1700
179,43586731,0.50,-320.55,1700
180,43588730,0.50,-327.93,1700
181,43590731,0.50,-327.93,1700
182,43592730,0.50,-327.93,1700
183,43594731,0.50,-334.56,1700
184,43596731,0.50,-334.56,1700
185,43598731,0.50,-334.56,1700
186,43600730,0.50,-340.66,1700
187,43602731,0.50,-340.66,1700
188,43604730,0.50,-340.66,1700
189,43606731,0.50,-346.18,1700
190,43608731,0.50,-346.18,1700
191,43610730,0.50,-346.18,1700
192,43612731,0.50,-351.11,1700
193,43614731,0.50,-351.11,1700
194,43616730,0.50,-351.11,1700
195,43618731,0.50,-355.60,1700
196,43620731,0.50,-355.60,1700
197,43622730,0.50,-355.60,1700
198,43624731,0.50,-359.69,1700
199,43626731,0.50,-359.69,1700
200,43628730,0.50,-359.69,1700
201,43630731,0.50,-363.32,1700
202,43632731,0.50,-363.32,1700
203,43634730,0.50,-363.32,1700
204,43636731,0.50,-366.65,1700
205,43638731,0.50,-366.65,1700
206,43640731,0.50,-366.65,1700
207,43642730,0.50,-369.59,1700
208,43644731,0.50,-369.59,1700
209,43646731,0.50,-369.59,1700
210,43648730,0.50,-372.34,1700
211,43650731,0.50,-372.34,1700
212,43652731,0.50,-372.34,1700
213,43654731,0.50,-374.77,1700
214,43656731,0.50,-374.77,1700
215,43658731,0.50,-374.77,1700
216,43660730,0.50,-376.89,1700
217,43662731,0.50,-376.89,1700
218,43664730,0.50,-376.89,1700
219,43666731,0.50,-378.91,1700
220,43668731,0.50,-378.91,1700
221,43670730,0.50,-378.91,1700
222,43672731,0.50,-380.61,1700
223,43674731,0.50,-380.61,1700
224,43676731,0.50,-380.61,1700
225,43678730,0.50,-382.16,1700
226,43680731,0.50,-382.16,1700
227,43682730,0.50,-382.16,1700
228,43684731,0.50,-383.60,1700
229,43686731,0.50,-383.60,1700
230,43688730,0.50,-383.60,1700
231,43690731,0.50,-384.83,1700
232,43692731,0.50,-384.83,1700
233,43694730,0.50,-384.83,1700
234,43696731,0.50,-386.00,1700
235,43698731,0.50,-386.00,1700
236,43700731,0.50,-386.00,1700
237,43702730,0.50,-387.07,1700
238,43704731,0.50,-387.07,1700
239,43706730,0.50,-387.07,1700
240,43708731,0.50,-388.01,1700
241,43710731,0.50,-388.01,1700
242,43712730,0.50,-388.01,1700
243,43714731,0.50,-388.87,1700
244,43716731,0.50,-388.87,1700
245,43718730,0.50,-388.87,1700
246,43720731,0.50,-389.64,1700
247,43722731,0.50,-389.64,1700
248,43724731,0.50,-389.64,1700
249,43726730,0.50,-390.28,1700
250,43728731,0.50,-390.28,1700
251,43730730,0.50,-390.28,1700
252,43732731,0.50,-390.84,1700
253,43734731,0.50,-390.84,1700
254,43736731,0.50,-390.84,1700
255,43738730,0.50,-391.42,1700
256,43740731,0.50,-391.42,1700
257,43742731,0.50,-391.42,1700
258,43744730,0.50,-391.94,1700
259,43746731,0.50,-391.94,1700
260,43748730,0.50,-391.94,1700
261,43750731,0.50,-392.28,1700
262,43752731,0.50,-392.28,1700
263,43754731,0.50,-392.28,1700
264,43756730,0.50,-392.77,1700
265,43758731,0.50,-392.77,1700
266,43760731,0.50,-392.77,1700
267,43762730,0.50,-393.15,1700
268,43764731,0.50,-393.15,1700
269,43766731,0.50,-393.15,1700
270,43768730,0.50,-393.43,1700
271,43770731,0.50,-393.43,1700
272,43772730,0.50,-393.43,1700
273,43774731,0.50,-393.85,1700
274,43776731,0.50,-393.85,1700
275,43778730,0.50,-393.85,1700
276,43780731,0.50,-394.18,1700
277,43782731,0.50,-394.18,1700
278,43784731,0.50,-394.18,1700
279,43786730,0.50,-394.43,1700
280,43788731,0.50,-394.43,1700
281,43790731,0.50,-394.43,1700
282,43792730,0.50,-394.64,1700
283,43794731,0.50,-394.64,1700
284,43796731,0.50,-394.64,1700
285,43798730,0.50,-394.83,1700
286,43800731,0.50,-394.83,1700
287,43802730,0.50,-394.83,1700
288,43804731,0.50,-395.06,1700
289,43806731,0.50,-395.06,1700
290,43808731,0.50,-395.06,1700
291,43810730,0.50,-395.16,1700
292,43812731,0.50,-395.16,1700
293,43814731,0.50,-395.16,1700
294,43816730,0.50,-395.24,1700
295,43818730,0.50,-395.24,1700
296,43820731,0.50,-395.24,1700
297,43822731,0.50,-395.43,1700
298,43824731,0.50,-395.43,1700
299,43826730,0.50,-395.43,1700
300,43828731,0.50,-395.48,1700
301,43830731,0.50,-395.48,1700
302,43832731,0.50,-395.48,1700
303,43834730,0.50,-395.59,1700
304,43836731,0.50,-395.59,1700
305,43838730,0.50,-395.59,1700
306,43840731,0.50,-395.74,1700
307,43842731,0.50,-395.74,1700
308,43844731,0.50,-395.74,1700
309,43846730,0.50,-395.77,1700
310,43848731,0.50,-395.77,1700
311,43850730,0.50,-395.77,1700
312,43852731,0.50,-395.85,1700
313,43854731,0.50,-395.85,1700
314,43856730,0.50,-395.85,1700
315,43858731,0.50,-395.92,1700
316,43860731,0.50,-395.92,1700
317,43862730,0.50,-395.92,1700
318,43864731,0.50,-396.03,1700
319,43866731,0.50,-396.03,1700
320,43868730,0.50,-396.03,1700
321,43870731,0.50,-396.04,1700
322,43872731,0.50,-396.04,1700
323,43874731,0.50,-396.04,1700
324,43876730,0.50,-396.04,1700
325,43878731,0.50,-396.04,1700
326,43880731,0.50,-396.04,1700
327,43882730,0.50,-396.09,1700
328,43884731,0.50,-396.09,1700
329,43886730,0.50,-396.09,1700
330,43888731,0.50,-396.13,1700
331,43890731,0.50,-396.13,1700
332,43892730,0.50,-396.13,1700
333,43894731,0.50,-396.11,1700
334,43896731,0.50,-396.11,1700
335,43898730,0.50,-396.11,1700
336,43900731,0.50,-396.10,1700
337,43902731,0.50,-396.10,1700
338,43904731,0.50,-396.10,1700
339,43906730,0.50,-396.04,1700
340,43908731,0.50,-396.04,1700
341,43910731,0.50,-396.04,1700
342,43912730,0.50,-396.10,1700
343,43914731,0.50,-396.10,1700
344,43916731,0.50,-396.10,1700
345,43918730,0.50,-396.08,1700
346,43920731,0.50,-396.08,1700
347,43922730,0.50,-396.08,1700
348,43924731,0.50,-396.07,1700
349,43926731,0.50,-396.07,1700
350,43928730,0.50,-396.07,1700
351,43930731,0.50,-396.18,1700
352,43932730,0.50,-396.18,1700
353,43934731,0.50,-396.18,1700
354,43936731,0.50,-396.22,1700
355,43938730,0.50,-396.22,1700
356,43940731,0.50,-396.22,1700
357,43942731,0.50,-396.26,1700
358,43944731,0.50,-396.26,1700
359,43946731,0.50,-396.26,1700
360,43948730,0.50,-396.29,1700
361,43950731,0.50,-396.29,1700
362,43952730,0.50,-396.29,1700
363,43954731,0.50,-396.31,1700
364,43956731,0.50,-396.31,1700
365,43958731,0.50,-396.31,1700
366,43960730,0.50,-396.34,1700
367,43962731,0.50,-396.34,1700
368,43964731,0.50,-396.34,1700
369,43966730,0.50,-396.31,1700
370,43968731,0.50,-396.31,1700
371,43970731,0.50,-396.31,1700
372,43972730,0.50,-396.33,1700
373,43974731,0.50,-396.33,1700
374,43976730,0.50,-396.33,1700
375,43978731,0.50,-396.40,1700
376,43980731,0.50,-396.40,1700
377,43982731,0.50,-396.40,1700
378,43984730,0.50,-396.37,1700
379,43986731,0.50,-396.37,1700
380,43988731,0.50,-396.37,1700
381,43990730,0.50,-396.39,1700
382,43992731,0.50,-396.39,1700
383,43994730,0.50,-396.39,1700
384,43996731,0.50,-396.34,1700
385,43998731,0.50,-396.34,1700
386,44000730,0.50,-396.34,1700
387,44002731,0.50,-396.36,1700
388,44004731,0.50,-396.36,1700
389,44006730,0.50,-396.36,1700
390,44008731,0.50,-396.38,1700
391,44010731,0.50,-396.38,1700
392,44012731,0.50,-396.38,1700
393,44014730,0.50,-396.29,1700
394,44016731,0.50,-396.29,1700
395,44018730,0.50,-396.29,1700
396,44020731,0.50,-396.43,1700
397,44022731,0.50,-396.43,1700
398,44024730,0.50,-396.43,1700
399,44026731,0.50,-396.38,1700
400,44028731,0.50,-396.38,1700
401,44030730,0.50,-396.38,1700
402,44032731,0.50,-396.35,1700
403,44034731,0.50,-396.35,1700
404,44036731,0.50,-396.35,1700
405,44038730,0.50,-396.43,1700
406,44040731,0.50,-396.43,1700
407,44042731,0.50,-396.43,1700
408,44044730,0.50,-396.39,1700
409,44046731,0.50,-396.39,1700
410,44048730,0.50,-396.39,1700
411,44050731,0.50,-396.34,1700
412,44052731,0.50,-396.34,1700
413,44054730,0.50,-396.34,1700
414,44056731,0.50,-396.36,1700
415,44058731,0.50,-396.36,1700
416,44060730,0.50,-396.36,1700
417,44062731,0.50,-396.39,1700
418,44064731,0.50,-396.39,1700
419,44066730,0.50,-396.39,1700
420,44068731,0.50,-396.34,1700
421,44070731,0.50,-396.34,1700
422,44072731,0.50,-396.34,1700
423,44074730,0.50,-396.32,1700
424,44076731,0.50,-396.32,1700
425,44078731,0.50,-396.32,1700
426,44080730,0.50,-396.28,1700
427,44082731,0.50,-396.28,1700
428,44084730,0.50,-396.28,1700
429,44086731,0.50,-396.36,1700
430,44088731,0.50,-396.36,1700
431,44090730,0.50,-396.36,1700
432,44092731,0.50,-396.33,1700
433,44094731,0.50,-396.33,1700
434,44096731,0.50,-396.33,1700
435,44098730,0.50,-396.36,1700
436,44100731,0.50,-396.36,1700
437,44102730,0.50,-396.36,1700
438,44104731,0.50,-396.43,1700
439,44106731,0.50,-396.43,1700
440,44108730,0.50,-396.43,1700
441,44110731,0.50,-396.44,1700
442,44112731,0.50,-396.44,1700
443,44114730,0.50,-396.44,1700
444,44116731,0.50,-396.45,1700
445,44118731,0.50,-396.45,1700
446,44120731,0.50,-396.45,1700
447,44122730,0.50,-396.41,1700
448,44124730,0.50,-396.41,1700
449,44126731,0.50,-396.41,1700
450,44128731,0.50,-396.37,1700
451,44130731,0.50,-396.37,1700
452,44132730,0.50,-396.37,1700
453,44134731,0.50,-396.39,1700
454,44136731,0.50,-396.39,1700
455,44138730,0.50,-396.39,1700
456,44140731,0.50,-396.29,1700
457,44142731,0.50,-396.29,1700
458,44144731,0.50,-396.29,1700
459,44146730,0.50,-396.26,1700
460,44148731,0.50,-396.26,1700
461,44150730,0.50,-396.26,1700
462,44152731,0.50,-396.29,1700
463,44154731,0.50,-396.29,1700
464,44156731,0.50,-396.29,1700
465,44158730,0.50,-396.21,1700
466,44160731,0.50,-396.21,1700
467,44162731,0.50,-396.21,1700
468,44164730,0.50,-396.24,1700
469,44166731,0.50,-396.24,1700
470,44168731,0.50,-396.24,1700
471,44170730,0.50,-396.28,1700
472,44172731,0.50,-396.28,1700
473,44174731,0.50,-396.28,1700
474,44176730,0.50,-396.30,1700
475,44178731,0.50,-396.30,1700
476,44180730,0.50,-396.30,1700
477,44182731,0.50,-396.32,1700
478,44184731,0.50,-396.32,1700
479,44186730,0.50,-396.32,1700
480,44188731,0.50,-396.35,1700
481,44190731,0.50,-396.35,1700
482,44192730,0.50,-396.35,1700
483,44194731,0.50,-396.48,1700
484,44196731,0.50,-396.48,1700
485,44198730,0.50,-396.48,1700
486,44200731,0.50,-396.49,1700
487,44202731,0.50,-396.49,1700
488,44204730,0.50,-396.49,1700
489,44206731,0.50,-396.50,1700
490,44208731,0.50,-396.50,1700
491,44210731,0.50,-396.50,1700
492,44212731,0.50,-396.56,1700
493,44214730,0.50,-396.56,1700
494,44216731,0.50,-396.56,1700
495,44218731,0.50,-396.57,1700
496,44220731,0.50,-396.57,1700
497,44222731,0.50,-396.57,1700
498,44224730,0.50,-396.57,1700
499,44226731,0.50,-396.57,1700
500,44228731,0.50,-396.57,1700
501,44230730,0.50,-396.56,1700
502,44232731,0.50,-396.56,1700
503,44234730,0.50,-396.56,1700
504,44236731,0.50,-396.56,1700
505,44238731,0.50,-396.56,1700
506,44240731,0.50,-396.56,1700
507,44242730,0.50,-396.56,1700
508,44244731,0.50,-396.56,1700
509,44246730,0.50,-396.56,1700
510,44248731,0.50,-396.50,1700
511,44250731,0.50,-396.50,1700
512,44252730,0.50,-396.50,1700
513,44254731,0.50,-396.51,1700
514,44256731,0.50,-396.51,1700
515,44258731,0.50,-396.51,1700
516,44260730,0.50,-396.52,1700
517,44262731,0.50,-396.52,1700
518,44264731,0.50,-396.52,1700
519,44266730,0.50,-396.47,1700
520,44268731,0.50,-396.47,1700
521,44270730,0.50,-396.47,1700
522,44272731,0.50,-396.47,1700
523,44274731,0.50,-396.47,1700
524,44276730,0.50,-396.47,1700
525,44278731,0.50,-396.42,1700
526,44280731,0.50,-396.42,1700
527,44282730,0.50,-396.42,1700
528,44284731,0.50,-396.44,1700
529,44286731,0.50,-396.44,1700
530,44288730,0.50,-396.44,1700
531,44290731,0.50,-396.39,1700
532,44292731,0.50,-396.39,1700
533,44294730,0.50,-396.39,1700
534,44296731,0.50,-396.30,1700
535,44298731,0.50,-396.30,1700
536,44300730,0.50,-396.30,1700
537,44302731,0.50,-396.43,1700
538,44304731,0.50,-396.43,1700
539,44306730,0.50,-396.43,1700
540,44308731,0.50,-396.51,1700
541,44310730,0.50,-396.51,1700
542,44312731,0.50,-396.51,1700
543,44314731,0.50,-396.46,1700
544,44316731,0.50,-396.46,1700
545,44318730,0.50,-396.46,1700
546,44320731,0.50,-396.52,1700
547,44322731,0.50,-396.52,1700
548,44324730,0.50,-396.52,1700
549,44326731,0.50,-396.53,1700
550,44328731,0.50,-396.53,1700
551,44330730,0.50,-396.53,1700
552,44332731,0.50,-396.47,1700
553,44334731,0.50,-396.47,1700
554,44336730,0.50,-396.47,1700
555,44338731,0.50,-396.48,1700
556,44340731,0.50,-396.48,1700
557,44342730,0.50,-396.48,1700
558,44344731,0.50,-396.49,1700
559,44346731,0.50,-396.49,1700
560,44348731,0.50,-396.49,1700
561,44350730,0.50,-396.50,1700
562,44352731,0.50,-396.50,1700
563,44354731,0.50,-396.50,1700
564,44356731,0.50,-396.45,1700
565,44358731,0.50,-396.45,1700
566,44360731,0.50,-396.45,1700
567,44362730,0.50,-396.46,1700
568,44364731,0.50,-396.46,1700
569,44366730,0.50,-396.46,1700
570,44368731,0.50,-396.58,1700
571,44370731,0.50,-396.58,1700
572,44372730,0.50,-396.58,1700
573,44374731,0.50,-396.58,1700
574,44376731,0.50,-396.58,1700
575,44378730,0.50,-396.58,1700
576,44380731,0.50,-396.63,1700
577,44382731,0.50,-396.63,1700
578,44384730,0.50,-396.63,1700
579,44386731,0.50,-396.63,1700
580,44388731,0.50,-396.63,1700
581,44390730,0.50,-396.63,1700
582,44392731,0.50,-396.68,1700
583,44394731,0.50,-396.68,1700
584,44396730,0.50,-396.68,1700
585,44398731,0.50,-396.72,1700
586,44400731,0.50,-396.72,1700
587,44402730,0.50,-396.72,1700
588,44404731,0.50,-396.65,1700
589,44406731,0.50,-396.65,1700
590,44408730,0.50,-396.65,1700
591,44410731,0.50,-396.70,1700
592,44412731,0.50,-396.70,1700
593,44414730,0.50,-396.70,1700
594,44416731,0.50,-396.69,1700
595,44418731,0.50,-396.69,1700
596,44420730,0.50,-396.69,1700
597,44422731,0.50,-396.61,1700
598,44424731,0.50,-396.61,1700
599,44426730,0.50,-396.61,1700
600,44428731,0.50,-396.67,1700
601,44430731,0.50,-396.67,1700
602,44432730,0.50,-396.67,1700
603,44434731,0.50,-396.60,1700
604,44436731,0.50,-396.60,1700
605,44438730,0.50,-396.60,1700
606,44440731,0.50,-396.60,1700
607,44442731,0.50,-396.60,1700
608,44444730,0.50,-396.60,1700
609,44446731,0.50,-396.59,1700
