i,step,speed,pwm
0,53631318,0.60,-357.04,1740
1,53633318,0.60,-357.04,1740
2,53635318,0.60,-357.04,1740
3,53637317,0.60,-321.33,1740
4,53639318,0.60,-321.33,1740
5,53641318,0.60,-321.33,1740
6,53643317,0.60,-289.20,1740
7,53645318,0.60,-289.20,1740
8,53647318,0.60,-289.20,1740
9,53649317,0.60,-260.28,1740
10,53651318,0.60,-260.28,1740
11,53653318,0.60,-260.28,1740
12,53655317,0.60,-234.25,1740
13,53657318,0.60,-234.25,1740
14,53659318,0.60,-234.25,1740
15,53661317,0.60,-210.83,1740
16,53663318,0.60,-210.83,1740
17,53665318,0.60,-210.83,1740
18,53667317,0.60,-189.74,1740
19,53669318,0.60,-189.74,1740
20,53671318,0.60,-189.74,1740
21,53673317,0.60,-170.77,1740
22,53675318,0.60,-170.77,1740
23,53677318,0.60,-170.77,1740
24,53679317,0.60,-153.69,1740
25,53681318,0.60,-153.69,1740
26,53683318,0.60,-153.69,1740
27,53685317,0.60,-138.32,1740
28,53687318,0.60,-138.32,1740
29,53689318,0.60,-138.32,1740
30,53691317,0.60,-124.49,1740
31,53693318,0.60,-124.49,1740
32,53695318,0.60,-124.49,1740
33,53697317,0.60,-112.04,1740
34,53699318,0.60,-112.04,1740
35,53701318,0.60,-112.04,1740
36,53703317,0.60,-100.84,1740
37,53705318,0.60,-100.84,1740
38,53707318,0.60,-100.84,1740
39,53709317,0.60,-90.75,1740
40,53711318,0.60,-90.75,1740
41,53713318,0.60,-90.75,1740
42,53715317,0.60,-81.68,1740
43,53717318,0.60,-81.68,1740
44,53719318,0.60,-81.68,1740
45,53721317,0.60,-73.51,1740
46,53723318,0.60,-73.51,1740
47,53725318,0.60,-73.51,1740
48,53727317,0.60,-66.16,1740
49,53729318,0.60,-66.16,1740
50,53731318,0.60,-66.16,1740
51,53733317,0.60,-59.54,1740
52,53735318,0.60,-59.54,1740
53,53737318,0.60,-59.54,1740
54,53739317,0.60,-53.59,1740
55,53741318,0.60,-53.59,1740
56,53743318,0.60,-53.59,1740
57,53745317,0.60,-48.12,1740
58,53747318,0.60,-48.12,1740
59,53749317,0.60,-48.12,1740
60,53751318,0.60,-42.34,1740
61,53753318,0.60,-42.34,1740
62,53755317,0.60,-42.34,1740
63,53757318,0.60,-37.54,1740
64,53759318,0.60,-37.54,1740
65,53761318,0.60,-37.54,1740
66,53763317,0.60,-34.35,1740
67,53765318,0.60,-34.35,1740
68,53767317,0.60,-34.35,1740
69,53769318,0.60,-31.59,1740
70,53771318,0.60,-31.59,1740
71,53773318,0.60,-31.59,1740
72,53775317,0.60,-28.21,1740
73,53777318,0.60,-28.21,1740
74,53779317,0.60,-28.21,1740
75,53781318,0.60,-24.99,1740
76,53783318,0.60,-24.99,1740
77,53785318,0.60,-24.99,1740
78,53787317,0.60,-25.39,1740
79,53789318,0.60,-25.39,1740
80,53791317,0.60,-25.39,1740
81,53793318,0.60,-28.02,1740
82,53795318,0.60,-28.02,1740
83,53797317,0.60,-28.02,1740
84,53799318,0.60,-31.70,1740
85,53801318,0.60,-31.70,1740
86,53803318,0.60,-31.70,1740
87,53805317,0.60,-35.74,1740
88,53807318,0.60,-35.74,1740
89,53809318,0.60,-35.74,1740
90,53811317,0.60,-39.78,1740
91,53813318,0.60,-39.78,1740
92,53815318,0.60,-39.78,1740
93,53817317,0.60,-43.70,1740
94,53819318,0.60,-43.70,1740
95,53821318,0.60,-43.70,1740
96,53823317,0.60,-47.57,1740
97,53825318,0.60,-47.57,1740
98,53827317,0.60,-47.57,1740
99,53829318,0.60,-51.10,1740
100,53831318,0.60,-51.10,1740
101,53833317,0.60,-51.10,1740
102,53835318,0.60,-54.46,1740
103,53837318,0.60,-54.46,1740
104,53839318,0.60,-54.46,1740
105,53841317,0.60,-57.48,1740
106,53843318,0.60,-57.48,1740
107,53845318,0.60,-57.48,1740
108,53847317,0.60,-60.08,1740
109,53849318,0.60,-60.08,1740
110,53851317,0.60,-60.08,1740
111,53853318,0.60,-62.37,1740
112,53855318,0.60,-62.37,1740
113,53857318,0.60,-62.37,1740
114,53859317,0.60,-64.26,1740
115,53861318,0.60,-64.26,1740
116,53863317,0.60,-64.26,1740
117,53865318,0.60,-66.02,1740
118,53867318,0.60,-66.02,1740
119,53869318,0.60,-66.02,1740
120,53871317,0.60,-70.32,1740
121,53873318,0.60,-70.32,1740
122,53875318,0.60,-70.32,1740
123,53877317,0.60,-76.92,1740
124,53879318,0.60,-76.92,1740
125,53881317,0.60,-76.92,1740
126,53883318,0.60,-84.46,1740
127,53885318,0.60,-84.46,1740
128,53887317,0.60,-84.46,1740
129,53889318,0.60,-93.34,1740
130,53891318,0.60,-93.34,1740
131,53893318,0.60,-93.34,1740
132,53895317,0.60,-103.78,1740
133,53897318,0.60,-103.78,1740
134,53899317,0.60,-103.78,1740
135,53901318,0.60,-115.21,1740
136,53903318,0.60,-115.21,1740
137,53905317,0.60,-115.21,1740
138,53907318,0.60,-127.84,1740
139,53909318,0.60,-127.84,1740
140,53911317,0.60,-127.84,1740
141,53913318,0.60,-141.19,1740
142,53915318,0.60,-141.19,1740
143,53917317,0.60,-141.19,1740
144,53919318,0.60,-154.40,1740
145,53921318,0.60,-154.40,1740
146,53923318,0.60,-154.40,1740
147,53925317,0.60,-167.43,1740
148,53927318,0.60,-167.43,1740
