i,step,speed,pwm
0,74136792,0.80,-1.28,1820
1,74138792,0.80,-1.28,1820
2,74140791,0.80,-1.28,1820
3,74142792,0.80,-1.15,1820
4,74144792,0.80,-1.15,1820
5,74146791,0.80,-1.15,1820
6,74148792,0.80,-1.04,1820
7,74150792,0.80,-1.04,1820
8,74152791,0.80,-1.04,1820
9,74154792,0.80,-0.94,1820
10,74156792,0.80,-0.94,1820
11,74158791,0.80,-0.94,1820
12,74160792,0.80,-0.84,1820
13,74162792,0.80,-0.84,1820
14,74164791,0.80,-0.84,1820
15,74166792,0.80,-0.76,1820
16,74168792,0.80,-0.76,1820
17,74170791,0.80,-0.76,1820
18,74172792,0.80,-0.68,1820
19,74174792,0.80,-0.68,1820
20,74176791,0.80,-0.68,1820
21,74178792,0.80,-0.61,1820
22,74180792,0.80,-0.61,1820
23,74182791,0.80,-0.61,1820
24,74184792,0.80,-0.55,1820
25,74186792,0.80,-0.55,1820
26,74188791,0.80,-0.55,1820
27,74190792,0.80,-0.50,1820
28,74192792,0.80,-0.50,1820
29,74194791,0.80,-0.50,1820
30,74196792,0.80,-0.45,1820
31,74198792,0.80,-0.45,1820
32,74200791,0.80,-0.45,1820
33,74202792,0.80,-0.40,1820
34,74204792,0.80,-0.40,1820
35,74206791,0.80,-0.40,1820
36,74208792,0.80,-0.36,1820
37,74210792,0.80,-0.36,1820
38,74212791,0.80,-0.36,1820
39,74214792,0.80,-0.33,1820
40,74216792,0.80,-0.33,1820
41,74218791,0.80,-0.33,1820
42,74220792,0.80,-0.29,1820
43,74222792,0.80,-0.29,1820
44,74224791,0.80,-0.29,1820
45,74226792,0.80,-0.26,1820
46,74228792,0.80,-0.26,1820
47,74230791,0.80,-0.26,1820
48,74232792,0.80,-0.24,1820
49,74234792,0.80,-0.24,1820
50,74236791,0.80,-0.24,1820
51,74238792,0.80,-0.21,1820
52,74240792,0.80,-0.21,1820
53,74242791,0.80,-0.21,1820
54,74244792,0.80,-0.19,1820
55,74246792,0.80,-0.19,1820
56,74248791,0.80,-0.19,1820
57,74250792,0.80,0.34,1820
58,74252792,0.80,0.34,1820
59,74254791,0.80,0.34,1820
60,74256792,0.80,2.19,1820
61,74258792,0.80,2.19,1820
62,74260791,0.80,2.19,1820
63,74262792,0.80,5.43,1820
64,74264792,0.80,5.43,1820
65,74266792,0.80,5.43,1820
66,74268791,0.80,8.81,1820
67,74270792,0.80,8.81,1820
68,74272791,0.80,8.81,1820
69,74274792,0.80,8.89,1820
70,74276792,0.80,8.89,1820
71,74278791,0.80,8.89,1820
72,74280792,0.80,5.44,1820
73,74282792,0.80,5.44,1820
74,74284791,0.80,5.44,1820
75,74286792,0.80,0.07,1820
76,74288791,0.80,0.07,1820
77,74290792,0.80,0.07,1820
78,74292792,0.80,-6.14,1820
79,74294792,0.80,-6.14,1820
80,74296791,0.80,-6.14,1820
81,74298792,0.80,-12.62,1820
82,74300792,0.80,-12.62,1820
83,74302792,0.80,-12.62,1820
84,74304791,0.80,-18.97,1820
85,74306792,0.80,-18.97,1820
86,74308791,0.80,-18.97,1820
87,74310792,0.80,-24.97,1820
88,74312792,0.80,-24.97,1820
89,74314791,0.80,-24.97,1820
90,74316792,0.80,-30.71,1820
91,74318792,0.80,-30.71,1820
92,74320792,0.80,-30.71,1820
93,74322791,0.80,-35.88,1820
94,74324792,0.80,-35.88,1820
95,74326791,0.80,-35.88,1820
96,74328792,0.80,-40.76,1820
97,74330792,0.80,-40.76,1820
98,74332791,0.80,-40.76,1820
99,74334792,0.80,-45.19,1820
100,74336792,0.80,-45.19,1820
101,74338791,0.80,-45.19,1820
102,74340792,0.80,-49.20,1820
103,74342792,0.80,-49.20,1820
104,74344791,0.80,-49.20,1820
105,74346792,0.80,-52.80,1820
106,74348792,0.80,-52.80,1820
107,74350792,0.80,-52.80,1820
108,74352791,0.80,-57.70,1820
109,74354791,0.80,-57.70,1820
110,74356792,0.80,-57.70,1820
111,74358792,0.80,-63.17,1820
112,74360791,0.80,-63.17,1820
113,74362792,0.80,-63.17,1820
114,74364792,0.80,-68.68,1820
115,74366792,0.80,-68.68,1820
116,74368792,0.80,-68.68,1820
117,74370791,0.80,-76.36,1820
118,74372792,0.80,-76.36,1820
119,74374791,0.80,-76.36,1820
120,74376792,0.80,-85.87,1820
121,74378792,0.80,-85.87,1820
122,74380792,0.80,-85.87,1820
123,74382791,0.80,-96.32,1820
124,74384792,0.80,-96.32,1820
125,74386792,0.80,-96.32,1820
126,74388791,0.80,-108.10,1820
127,74390792,0.80,-108.10,1820
128,74392791,0.80,-108.10,1820
129,74394792,0.80,-120.70,1820
130,74396792,0.80,-120.70,1820
131,74398791,0.80,-120.70,1820
132,74400792,0.80,-133.80,1820
133,74402792,0.80,-133.80,1820
134,74404791,0.80,-133.80,1820
135,74406792,0.80,-147.57,1820
136,74408792,0.80,-147.57,1820
137,74410791,0.80,-147.57,1820
138,74412792,0.80,-161.62,1820
139,74414792,0.80,-161.62,1820
140,74416792,0.80,-161.62,1820
141,74418791,0.80,-175.18,1820
142,74420792,0.80,-175.18,1820
143,74422791,0.80,-175.18,1820
144,74424792,0.80,-188.22,1820
145,74426792,0.80,-188.22,1820
146,74428792,0.80,-188.22,1820
147,74430791,0.80,-200.99,1820
148,74432792,0.80,-200.99,1820
149,74434791,0.80,-200.99,1820
150,74436792,0.80,-213.33,1820
151,74438792,0.80,-213.33,1820
152,74440791,0.80,-213.33,1820
153,74442792,0.80,-225.23,1820
154,74444791,0.80,-225.23,1820
155,74446792,0.80,-225.23,1820
156,74448792,0.80,-236.75,1820
157,74450792,0.80,-236.75,1820
158,74452792,0.80,-236.75,1820
159,74454791,0.80,-247.90,1820
160,74456792,0.80,-247.90,1820
161,74458791,0.80,-247.90,1820
162,74460792,0.80,-258.83,1820
163,74462792,0.80,-258.83,1820
164,74464791,0.80,-258.83,1820
165,74466792,0.80,-269.38,1820
166,74468792,0.80,-269.38,1820
167,74470792,0.80,-269.38,1820
168,74472792,0.80,-279.65,1820
169,74474791,0.80,-279.65,1820
170,74476792,0.80,-279.65,1820
171,74478792,0.80,-289.76,1820
172,74480791,0.80,-289.76,1820
173,74482792,0.80,-289.76,1820
174,74484792,0.80,-299.64,1820
175,74486791,0.80,-299.64,1820
176,74488792,0.80,-299.64,1820
177,74490792,0.80,-309.34,1820
178,74492792,0.80,-309.34,1820
179,74494792,0.80,-309.34,1820
180,74496791,0.80,-318.85,1820
181,74498792,0.80,-318.85,1820
182,74500791,0.80,-318.85,1820
183,74502792,0.80,-328.20,1820
184,74504792,0.80,-328.20,1820
185,74506791,0.80,-328.20,1820
186,74508792,0.80,-337.32,1820
187,74510792,0.80,-337.32,1820
188,74512792,0.80,-337.32,1820
189,74514791,0.80,-346.42,1820
190,74516792,0.80,-346.42,1820
191,74518791,0.80,-346.42,1820
192,74520792,0.80,-355.41,1820
193,74522792,0.80,-355.41,1820
194,74524791,0.80,-355.41,1820
195,74526792,0.80,-364.18,1820
196,74528792,0.80,-364.18,1820
197,74530792,0.80,-364.18,1820
198,74532791,0.80,-372.94,1820
199,74534792,0.80,-372.94,1820
200,74536792,0.80,-372.94,1820
201,74538791,0.80,-381.61,1820
202,74540792,0.80,-381.61,1820
203,74542791,0.80,-381.61,1820
204,74544792,0.80,-390.08,1820
205,74546792,0.80,-390.08,1820
206,74548791,0.80,-390.08,1820
207,74550792,0.80,-398.51,1820
208,74552792,0.80,-398.51,1820
209,74554791,0.80,-398.51,1820
210,74556792,0.80,-406.85,1820
211,74558792,0.80,-406.85,1820
212,74560791,0.80,-406.85,1820
213,74562792,0.80,-415.19,1820
214,74564792,0.80,-415.19,1820
215,74566792,0.80,-415.19,1820
216,74568791,0.80,-423.28,1820
217,74570792,0.80,-423.28,1820
218,74572791,0.80,-423.28,1820
219,74574792,0.80,-431.57,1820
