i,step,speed,pwm
177,12393950,0.20,-98.63,1580
178,12395951,0.20,-98.63,1580
179,12397950,0.20,-98.63,1580
180,12399951,0.20,-99.11,1580
181,12401951,0.20,-99.11,1580
182,12403950,0.20,-99.11,1580
183,12405951,0.20,-99.48,1580
184,12407951,0.20,-99.48,1580
185,12409951,0.20,-99.48,1580
186,12411950,0.20,-99.82,1580
187,12413951,0.20,-99.82,1580
188,12415950,0.20,-99.82,1580
189,12417951,0.20,-100.12,1580
190,12419951,0.20,-100.12,1580
191,12421950,0.20,-100.12,1580
192,12423951,0.20,-100.39,1580
193,12425951,0.20,-100.39,1580
194,12427950,0.20,-100.39,1580
195,12429951,0.20,-100.63,1580
196,12431951,0.20,-100.63,1580
197,12433951,0.20,-100.63,1580
198,12435950,0.20,-100.80,1580
199,12437951,0.20,-100.80,1580
200,12439950,0.20,-100.80,1580
201,12441951,0.20,-101.06,1580
202,12443950,0.20,-101.06,1580
203,12445951,0.20,-101.06,1580
204,12447951,0.20,-101.29,1580
205,12449951,0.20,-101.29,1580
206,12451950,0.20,-101.29,1580
207,12453951,0.20,-101.44,1580
208,12455951,0.20,-101.44,1580
209,12457950,0.20,-101.44,1580
210,12459951,0.20,-101.70,1580
211,12461951,0.20,-101.70,1580
212,12463951,0.20,-101.70,1580
213,12465950,0.20,-101.81,1580
214,12467951,0.20,-101.81,1580
215,12469950,0.20,-101.81,1580
216,12471951,0.20,-101.86,1580
217,12473951,0.20,-101.86,1580
218,12475951,0.20,-101.86,1580
219,12477950,0.20,-101.96,1580
220,12479950,0.20,-101.96,1580
221,12481951,0.20,-101.96,1580
222,12483951,0.20,-102.04,1580
223,12485951,0.20,-102.04,1580
224,12487950,0.20,-102.04,1580
225,12489951,0.20,-102.01,1580
226,12491951,0.20,-102.01,1580
227,12493951,0.20,-102.01,1580
228,12495950,0.20,-102.03,1580
229,12497951,0.20,-102.03,1580
230,12499950,0.20,-102.03,1580
231,12501951,0.20,-102.11,1580
232,12503951,0.20,-102.11,1580
233,12505951,0.20,-102.11,1580
234,12507950,0.20,-102.19,1580
235,12509951,0.20,-102.19,1580
236,12511950,0.20,-102.19,1580
237,12513951,0.20,-102.25,1580
238,12515951,0.20,-102.25,1580
239,12517950,0.20,-102.25,1580
240,12519951,0.20,-102.31,1580
241,12521950,0.20,-102.31,1580
242,12523951,0.20,-102.31,1580
243,12525951,0.20,-102.48,1580
244,12527951,0.20,-102.48,1580
245,12529951,0.20,-102.48,1580
246,12531951,0.20,-102.45,1580
247,12533951,0.20,-102.45,1580
248,12535950,0.20,-102.45,1580
249,12537951,0.20,-102.43,1580
250,12539951,0.20,-102.43,1580
251,12541950,0.20,-102.43,1580
252,12543951,0.20,-102.47,1580
