i,timestamp,count,position,velocity,step,pwm
0,53259689,0,-0.0000,-17.3462,0.300000,1620
1,53260689,0,-0.0000,0.0000,0.300000,1620
2,53261689,0,-0.0000,0.0000,0.300000,1620
3,53262689,0,-0.0000,0.0000,0.300000,1620
4,53263689,0,-0.0000,0.0000,0.300000,1620
5,53264689,0,-0.0000,0.0000,0.300000,1620
6,53265689,0,-0.0000,0.0000,0.300000,1620
7,53266689,0,-0.0000,0.0000,0.300000,1620
8,53267689,0,-0.0000,0.0000,0.300000,1620
9,53268689,0,-0.0000,0.0000,0.300000,1620
10,53269689,0,-0.0000,0.0000,0.300000,1620
11,53270689,0,-0.0000,0.0000,0.300000,1620
12,53271689,0,-0.0000,0.0000,0.300000,1620
13,53272689,0,-0.0000,0.0000,0.300000,1620
14,53273689,0,-0.0000,0.0000,0.300000,1620
15,53274689,0,-0.0000,0.0000,0.300000,1620
16,53275689,0,-0.0000,0.0000,0.300000,1620
17,53276689,0,-0.0000,0.0000,0.300000,1620
18,53277689,0,-0.0000,0.0000,0.300000,1620
19,53278689,0,-0.0000,0.0000,0.300000,1620
20,53279689,0,-0.0000,0.0000,0.300000,1620
21,53280689,0,-0.0000,0.0000,0.300000,1620
22,53281689,0,-0.0000,0.0000,0.300000,1620
23,53282689,0,-0.0000,0.0000,0.300000,1620
24,53283689,0,-0.0000,0.0000,0.300000,1620
25,53284689,0,-0.0000,0.0000,0.300000,1620
26,53285689,0,-0.0000,0.0000,0.300000,1620
27,53286689,0,-0.0000,0.0000,0.300000,1620
28,53287689,0,-0.0000,0.0000,0.300000,1620
29,53288689,0,-0.0000,0.0000,0.300000,1620
30,53289689,0,-0.0000,0.0000,0.300000,1620
31,53290689,0,-0.0000,0.0000,0.300000,1620
32,53291689,0,-0.0000,0.0000,0.300000,1620
33,53292689,0,-0.0000,0.0000,0.300000,1620
34,53293689,0,-0.0000,0.0000,0.300000,1620
35,53294689,0,-0.0000,0.0000,0.300000,1620
36,53295689,0,-0.0000,0.0000,0.300000,1620
37,53296689,0,-0.0000,0.0000,0.300000,1620
38,53297689,0,-0.0000,0.0000,0.300000,1620
39,53298689,0,-0.0000,0.0000,0.300000,1620
40,53299689,0,-0.0000,0.0000,0.300000,1620
41,53300689,0,-0.0000,0.0000,0.300000,1620
42,53301689,0,-0.0000,0.0000,0.300000,1620
43,53302689,0,-0.0000,0.0000,0.300000,1620
44,53303689,0,-0.0000,0.0000,0.300000,1620
45,53304689,0,-0.0000,0.0000,0.300000,1620
46,53305689,0,-0.0000,0.0000,0.300000,1620
47,53306689,0,-0.0000,0.0000,0.300000,1620
48,53307689,0,-0.0000,0.0000,0.300000,1620
