i,timestamp,count,position,velocity,step,pwm
0,28314659,0,-0.0000,-3.0164,0.200000,1580
1,28315659,0,-0.0000,0.0000,0.200000,1580
2,28316659,0,-0.0000,0.0000,0.200000,1580
3,28317659,0,-0.0000,0.0000,0.200000,1580
4,28318659,0,-0.0000,0.0000,0.200000,1580
5,28319659,0,-0.0000,0.0000,0.200000,1580
6,28320659,0,-0.0000,0.0000,0.200000,1580
7,28321659,0,-0.0000,0.0000,0.200000,1580
8,28322659,0,-0.0000,0.0000,0.200000,1580
9,28323659,0,-0.0000,0.0000,0.200000,1580
10,28324659,0,-0.0000,0.0000,0.200000,1580
11,28325659,0,-0.0000,0.0000,0.200000,1580
12,28326659,0,-0.0000,0.0000,0.200000,1580
13,28327659,0,-0.0000,0.0000,0.200000,1580
14,28328659,0,-0.0000,0.0000,0.200000,1580
15,28329659,0,-0.0000,0.0000,0.200000,1580
16,28330659,0,-0.0000,0.0000,0.200000,1580
17,28331659,0,-0.0000,0.0000,0.200000,1580
18,28332659,0,-0.0000,0.0000,0.200000,1580
19,28333659,0,-0.0000,0.0000,0.200000,1580
20,28334659,0,-0.0000,0.0000,0.200000,1580
21,28335659,0,-0.0000,0.0000,0.200000,1580
22,28336659,0,-0.0000,0.0000,0.200000,1580
23,28337659,0,-0.0000,0.0000,0.200000,1580
24,28338659,0,-0.0000,0.0000,0.200000,1580
25,28339659,0,-0.0000,0.0000,0.200000,1580
26,28340659,0,-0.0000,0.0000,0.200000,1580
27,28341659,0,-0.0000,0.0000,0.200000,1580
28,28342659,0,-0.0000,0.0000,0.200000,1580
29,28343659,0,-0.0000,0.0000,0.200000,1580
30,28344659,0,-0.0000,0.0000,0.200000,1580
31,28345659,0,-0.0000,0.0000,0.200000,1580
32,28346659,0,-0.0000,0.0000,0.200000,1580
33,28347659,0,-0.0000,0.0000,0.200000,1580
34,28348659,0,-0.0000,0.0000,0.200000,1580
35,28349659,0,-0.0000,0.0000,0.200000,1580
36,28350659,0,-0.0000,0.0000,0.200000,1580
37,28351659,0,-0.0000,0.0000,0.200000,1580
38,28352659,0,-0.0000,0.0000,0.200000,1580
39,28353659,0,-0.0000,0.0000,0.200000,1580
40,28354659,0,-0.0000,0.0000,0.200000,1580
41,28355659,0,-0.0000,0.0000,0.200000,1580
42,28356659,0,-0.0000,0.0000,0.200000,1580
43,28357659,0,-0.0000,0.0000,0.200000,1580
44,28358659,0,-0.0000,0.0000,0.200000,1580
45,28359659,0,-0.0000,0.0000,0.200000,1580
46,28360659,0,-0.0000,0.0000,0.200000,1580
47,28361659,0,-0.0000,0.0000,0.200000,1580
48,28362659,0,-0.0000,0.0000,0.200000,1580
49,28363659,0,-0.0000,0.0000,0.200000,1580
50,28364659,0,-0.0000,0.0000,0.200000,1580
51,28365659,0,-0.0000,0.0000,0.200000,1580
52,28366659,0,-0.0000,0.0000,0.200000,1580
53,28367659,0,-0.0000,0.0000,0.200000,1580
54,28368659,0,-0.0000,0.0000,0.200000,1580
55,28369659,0,-0.0000,0.0000,0.200000,1580
56,28370659,0,-0.0000,0.0000,0.200000,1580
57,28371659,0,-0.0000,0.0000,0.200000,1580
58,28372659,0,-0.0000,0.0000,0.200000,1580
59,28373659,0,-0.0000,0.0000,0.200000,1580
60,28374659,0,-0.0000,0.0000,0.200000,1580
61,28375659,0,-0.0000,0.0000,0.200000,1580
62,28376659,0,-0.0000,0.0000,0.200000,1580
63,28377659,0,-0.0000,0.0000,0.200000,1580
64,28378659,0,-0.0000,0.0000,0.200000,1580
65,28379659,0,-0.0000,0.0000,0.200000,1580
66,28380659,0,-0.0000,0.0000,0.200000,1580
67,28381659,0,-0.0000,0.0000,0.200000,1580
68,28382659,0,-0.0000,0.0000,0.200000,1580
69,28383659,0,-0.0000,0.0000,0.200000,1580
70,28384659,0,-0.0000,0.0000,0.200000,1580
71,28385659,0,-0.0000,0.0000,0.200000,1580
72,28386659,0,-0.0000,0.0000,0.200000,1580
73,28387659,0,-0.0000,0.0000,0.200000,1580
74,28388659,0,-0.0000,0.0000,0.200000,1580
75,28389659,0,-0.0000,0.0000,0.200000,1580
76,28390659,0,-0.0000,0.0000,0.200000,1580
77,28391659,0,-0.0000,0.0000,0.200000,1580
78,28392659,0,-0.0000,0.0000,0.200000,1580
79,28393659,0,-0.0000,0.0000,0.200000,1580
80,28394659,0,-0.0000,0.0000,0.200000,1580
81,28395659,0,-0.0000,0.0000,0.200000,1580
82,28396659,0,-0.0000,0.0000,0.200000,1580
