i,timestamp,count,position,velocity,step,pwm
0,103965931,0,-0.0000,-44.8977,0.500000,1700
1,103966932,0,-0.0000,0.0000,0.500000,1700
2,103967932,0,-0.0000,0.0000,0.500000,1700
3,103968932,0,-0.0000,0.0000,0.500000,1700
4,103969932,0,-0.0000,0.0000,0.500000,1700
5,103970932,0,-0.0000,0.0000,0.500000,1700
6,103971932,0,-0.0000,0.0000,0.500000,1700
7,103972932,0,-0.0000,0.0000,0.500000,1700
8,103973932,0,-0.0000,0.0000,0.500000,1700
9,103974932,0,-0.0000,0.0000,0.500000,1700
10,103975932,0,-0.0000,0.0000,0.500000,1700
11,103976932,0,-0.0000,0.0000,0.500000,1700
12,103977932,0,-0.0000,0.0000,0.500000,1700
13,103978932,0,-0.0000,0.0000,0.500000,1700
14,103979932,0,-0.0000,0.0000,0.500000,1700
15,103980932,0,-0.0000,0.0000,0.500000,1700
16,103981932,0,-0.0000,0.0000,0.500000,1700
17,103982932,0,-0.0000,0.0000,0.500000,1700
18,103983932,0,-0.0000,0.0000,0.500000,1700
19,103984932,0,-0.0000,0.0000,0.500000,1700
20,103985932,0,-0.0000,0.0000,0.500000,1700
21,103986932,0,-0.0000,0.0000,0.500000,1700
22,103987932,0,-0.0000,0.0000,0.500000,1700
23,103988932,0,-0.0000,0.0000,0.500000,1700
24,103989932,0,-0.0000,0.0000,0.500000,1700
25,103990932,0,-0.0000,0.0000,0.500000,1700
26,103991932,0,-0.0000,0.0000,0.500000,1700
27,103992932,0,-0.0000,0.0000,0.500000,1700
28,103993932,0,-0.0000,0.0000,0.500000,1700
29,103994932,0,-0.0000,0.0000,0.500000,1700
30,103995932,0,-0.0000,0.0000,0.500000,1700
31,103996932,0,-0.0000,0.0000,0.500000,1700
32,103997932,0,-0.0000,0.0000,0.500000,1700
33,103998932,0,-0.0000,0.0000,0.500000,1700
34,103999932,0,-0.0000,0.0000,0.500000,1700
35,104000932,0,-0.0000,0.0000,0.500000,1700
36,104001932,0,-0.0000,0.0000,0.500000,1700
37,104002932,0,-0.0000,0.0000,0.500000,1700
38,104003932,0,-0.0000,0.0000,0.500000,1700
39,104004932,0,-0.0000,0.0000,0.500000,1700
40,104005932,0,-0.0000,0.0000,0.500000,1700
41,104006932,0,-0.0000,0.0000,0.500000,1700
42,104007932,0,-0.0000,0.0000,0.500000,1700
43,104008932,0,-0.0000,0.0000,0.500000,1700
44,104009932,0,-0.0000,0.0000,0.500000,1700
45,104010932,0,-0.0000,0.0000,0.500000,1700
46,104011932,0,-0.0000,0.0000,0.500000,1700
47,104012932,0,-0.0000,0.0000,0.500000,1700
48,104013932,0,-0.0000,0.0000,0.500000,1700
49,104014932,0,-0.0000,0.0000,0.500000,1700
50,104015932,0,-0.0000,0.0000,0.500000,1700
51,104016932,0,-0.0000,0.0000,0.500000,1700
52,104017932,0,-0.0000,0.0000,0.500000,1700
53,104018932,0,-0.0000,0.0000,0.500000,1700
54,104019932,0,-0.0000,0.0000,0.500000,1700
55,104020932,0,-0.0000,0.0000,0.500000,1700
56,104021932,0,-0.0000,0.0000,0.500000,1700
57,104022932,0,-0.0000,0.0000,0.500000,1700
58,104023932,0,-0.0000,0.0000,0.500000,1700
59,104024932,0,-0.0000,0.0000,0.500000,1700
60,104025932,0,-0.0000,0.0000,0.500000,1700
61,104026932,0,-0.0000,0.0000,0.500000,1700
62,104027932,0,-0.0000,0.0000,0.500000,1700
63,104028932,0,-0.0000,0.0000,0.500000,1700
64,104029932,0,-0.0000,0.0000,0.500000,1700
65,104030932,0,-0.0000,0.0000,0.500000,1700
66,104031932,0,-0.0000,0.0000,0.500000,1700
67,104032932,0,-0.0000,0.0000,0.500000,1700
68,104033932,0,-0.0000,0.0000,0.500000,1700
69,104034932,0,-0.0000,0.0000,0.500000,1700
70,104035932,0,-0.0000,0.0000,0.500000,1700
71,104036932,0,-0.0000,0.0000,0.500000,1700
72,104037932,0,-0.0000,0.0000,0.500000,1700
73,104038932,0,-0.0000,0.0000,0.500000,1700
74,104039932,0,-0.0000,0.0000,0.500000,1700
75,104040932,0,-0.0000,0.0000,0.500000,1700
76,104041932,0,-0.0000,0.0000,0.500000,1700
77,104042932,0,-0.0000,0.0000,0.500000,1700
78,104043932,0,-0.0000,0.0000,0.500000,1700
79,104044932,0,-0.0000,0.0000,0.500000,1700
80,104045932,0,-0.0000,0.0000,0.500000,1700
81,104046932,0,-0.0000,0.0000,0.500000,1700
82,104047932,0,-0.0000,0.0000,0.500000,1700
83,104048932,0,-0.0000,0.0000,0.500000,1700
84,104049932,0,-0.0000,0.0000,0.500000,1700
85,104050932,0,-0.0000,0.0000,0.500000,1700
86,104051932,0,-0.0000,0.0000,0.500000,1700
87,104052932,0,-0.0000,0.0000,0.500000,1700
88,104053932,0,-0.0000,0.0000,0.500000,1700
89,104054932,0,-0.0000,0.0000,0.500000,1700
90,104055932,0,-0.0000,0.0000,0.500000,1700
91,104056932,0,-0.0000,0.0000,0.500000,1700
92,104057932,0,-0.0000,0.0000,0.500000,1700
93,104058932,0,-0.0000,0.0000,0.500000,1700
94,104059932,0,-0.0000,0.0000,0.500000,1700
95,104060932,0,-0.0000,0.0000,0.500000,1700
