time,measured,predicted
-0.003001,-44.8977,-9.51742462925269
-0.002,-21.26733157894737,-9.51742462925269
-0.001,-13.41960774907749,-9.51742462925269
0.0,-9.51742462925269,-9.51742462925269
0.001,-7.193323965226734,-8.76162976320764
0.002,-5.658122642612776,-8.007978997066376
0.003,-4.573574239006822,-7.256466248273183
0.004,-3.7705345687172813,-6.507085451527791
0.005,-3.155016990833864,-5.759830558736452
0.006,-2.670614633368795,-5.014695538963249
0.007,-2.2814196650187633,-4.271674378381151
0.008,-1.9634829910605611,-3.530761080223737
0.009,-1.700215671666032,-2.791949664736717
0.01,-1.4797611903514254,-2.0552341691296006
0.011,-1.2934188322494886,-1.3206086475276084
0.012,-1.1346583023068955,-0.5880671709237184
0.013,-0.9984821232658709,0.1423961728691605
0.014,-0.8810005582901294,0.8707872792660112
0.015,-0.7791407531934477,1.5971120269572214
0.016,-0.6904431158566016,2.3213762779559826
0.017,-0.6129158491138168,3.043585877645693
0.018,-0.544929129923034,3.763746654827118
0.019,-0.4851368655379407,4.481864421765371
0.02,-0.4324179810886457,5.1979449742368775
0.021,-0.385831768125757,5.911994091576149
0.022,-0.34458350741048593,6.6240175367223575
0.023,-0.3079977016886694,7.3340210562660015
0.024,-0.2754970158175615,8.04201038049508
0.025,-0.2465855468386334,8.74799122344153
0.026,-0.2208354142067647,9.451969282927228
0.027,-0.1978759212356778,10.153950240610028
0.028,-0.17738472626584634,10.85393976202956
0.029,-0.15908059834838909,11.551943496653019
0.03,-0.14271743241481982,12.247967077920732
0.031,-0.12807927328730787,12.942016123291632
0.032,-0.11497615364396675,13.634096234288608
0.033,-0.10324059322496738,14.324212996543674
0.034,-0.09272463872659674,15.01237197984304
0.035,-0.08329734855111627,15.69857873817214
0.036,-0.07484264572320061,16.382838809760422
0.037,-0.0672574772118084,17.06515771712604
0.038,-0.060450229615428445,17.745540967120355
0.039,-0.05433936042716397,18.42399405097253
0.04,-0.048852211455203194,19.100522444333727
0.041,-0.043923976857660536,19.775131607321327
0.042,-0.039496802980818486,20.447826984563044
0.043,-0.03551900101310587,21.118614005240786
0.044,-0.03194435657366321,21.787498083134565
0.045,-0.02873152289121037,22.454484616666157
0.046,-0.025843486310763192,23.11957898894258
0.047,-0.023247094582300093,23.782786567799675
0.048,-0.0209126398074055,24.44411270584537
0.049,-0.018813489103090688,25.10356274050291
0.05,-0.016925757030817536,25.761141994053823
0.051,-0.015228014668670634,26.41685577368108
0.052,-0.013701030904055032,27.07070937151167
0.053,-0.0123275421161204,27.72270806465955
0.054,-0.011092046919825353,28.372857115268076
0.055,-0.009980623072174151,29.021161770552602
0.056,-0.00898076400791981,29.66762726284265
0.057,-0.008081232786945561,30.31225880962438
0.058,-0.00727193150683477,30.95506161358245
0.059,-0.006543784468597899,31.59604086264217
0.06,-0.0058886335867557905,32.23520173001132
0.061,-0.005299144711642242,32.87254937422191
0.062,-0.004768723685772306,33.508088939171834
0.063,-0.004291441090677956,34.14182555416628
0.064,-0.0038619647584711187,34.77376433395933
0.065,-0.0034754992258577244,35.40391037879498
0.066,-0.0031277313993425438,36.03226877444858
0.067,-0.0028147817805859515,36.658844592267634
0.068,-0.0025331606717078395,37.28364288921292
0.069,-0.0022797288429835133,37.90666870789912
0.07,-0.0020516622008724937,38.52792707663575
0.071,-0.0018464200435503915,39.147423009467474
0.072,-0.0016617165348411212,39.76516150621482
0.073,-0.0014954950663332652,40.381147552514385
0.074,-0.0013459052120842706,40.995386119859084
0.075,-0.0012112820111685328,41.607882165638316
0.076,-0.0010901273408455941,42.21864063317799
0.077,-0.0009810931676931668,42.82766645178032
0.078,-0.0008829664859998553,43.43496453676374
0.079,-0.0007946557723369959,44.04053978950248
0.08,-0.0007151788027854827,44.644397097466175
0.081,-0.0006436516950087824,45.246541334259284
0.082,-0.000579279051437985,45.84697735966039
0.083,-0.000521345092445959,46.44571001966154
0.084,-0.0004692056796924838,47.042744146507225
0.085,-0.00042228113995990753,47.638084558733475
0.086,-0.00038004980889311165,48.23173606120665
0.087,-0.00034204222221835784,48.823703445162366
0.088,-0.00030783588934086485,49.41399148824393
0.089,-0.00027705059079796744,50.00260495454121
0.09,-0.00024934414695126943,50.58954859462884
0.091,-0.00022440861060678803,51.17482714560459
0.092,-0.0002019668410187601,51.758445331127746
0.093,-0.000181769421016021,52.34040786145709
0.094,-0.00016359188283930496,52.920719433488976
0.095,-0.0001472322117378747,53.49938473079516
0.096,-0.0001325085994843491,54.07640842366075
0.097,-0.00011925742276310263,54.65179516912178
0.098,-0.00010733142390210995,55.22554961100282
0.099,-9.659807367925019e-05,55.797676379954495
0.1,-8.693809796756783e-05,56.36818009349075
0.101,-7.824415181286927e-05,56.93706535602627
0.102,-7.041962618201523e-05,57.504336758913524
0.103,-6.337757409993097e-05,58.0699988804799
0.104,-5.70397442243872e-05,58.63405628606456
0.105,-5.133571110499412e-05,59.196513528055405
0.106,-4.620209245006497e-05,59.75737514592572
0.107,-4.158184469414568e-05,60.31664566627087
0.108,-3.742362903094663e-05,60.87432960284475
0.109,-3.368124086092656e-05,61.43043145659631
0.11,-3.0313096308653492e-05,61.984955715705894
0.111,-2.7281770100203278e-05,62.537906855621316
0.112,-2.4553579662354714e-05,63.08928933909418
0.113,0.6135706198163973,63.63910761621574
0.113999,1.7806282105706552,64.18681864357535
0.115,2.828529149435738,64.73406928868378
0.115999,4.388301271380078,65.27867714222647
0.117,5.1754334319011255,65.822827221912
0.117999,5.886301948122166,66.36434948333186
0.119,6.523633253664544,66.90541656451008
0.119999,6.485479847462151,67.44387071588837
0.121,6.44991179489344,67.98187226594594
0.121999,6.419130562578769,68.51727569031544
0.123,6.390197461632608,69.05222907767369
0.123999,5.7511768271766535,69.58459905957993
0.125,4.563077658056548,70.11652155425568
0.125999,4.10676937846216,70.64587528031487
0.127,3.083111403270006,71.17478405447808
0.127999,2.160589421571172,71.701138613932
0.129,1.3315497989126241,72.22705074245991
0.129999,0.5841842669066377,72.7504231277276
0.131,-0.08721460617908837,73.27335558875619
0.131999,-1.3069038754059263,73.79376269598242
0.133,-1.7891937476012065,74.31373237145436
0.133999,-2.2244845838232905,74.83119100105532
0.135,-3.227996563196221,75.34821467726503
0.135999,-3.519407021284615,75.86274153447049
0.137,-3.1674661948010883,76.37683590260605
0.137999,-3.464929669916373,76.88844759799876
0.139,-3.118436603756315,77.39962925468076
0.139999,-2.8065928630542674,77.90834230473266
0.141,-2.525933511684447,78.41662775254997
0.141999,-2.2733401078138464,78.92245858015535
0.143,-1.43302593923843,79.427864228198
0.143999,-0.675513217293554,79.9308291632038
0.145,0.005018207945749397,80.43337132759248
0.145999,0.6187264711626062,80.93348660732536
0.147,1.1698338919440643,81.43318151173841
0.147999,2.281260625986986,81.93046328152903
0.149,3.892074724137688,82.42732705772596
0.149999,5.959697437426417,82.92179137143015
0.151,7.815647843705906,83.41584005977259
0.151999,10.719323270576961,83.90750288028958
0.153,13.325271114143101,84.39875243025914
0.153999,15.6779841413678,84.88762963004702
0.155,18.40104587164741,85.37609590075999
0.155999,21.474591431186397,85.86220326234799
0.157,24.230972406476358,86.34790202306755
0.157999,26.72152526211897,86.8312552395656
0.159,29.56618283488971,87.31420217021073
0.159999,32.13742463192272,87.79481684581621
0.161,34.4405022336421,88.27502753746798
0.161999,37.138512078716325,88.75291918796921
0.163,39.55445092599971,89.23040914337413
0.163999,41.741065878327404,89.70559319665148
0.165,43.69674932665918,90.1803778307219
0.165999,46.0833444337129,90.65286962724578
0.167,47.60480001313078,91.12496426755759
0.167999,49.600590038722295,91.59477906088371
0.169,51.38331105647912,92.06419894817112
0.169999,53.61545997520482,92.53135190543291
0.171,54.99669399125829,92.99811219408052
0.171999,56.25329460324669,93.4626183964788
0.173,57.98371515669651,93.92673415501076
0.173999,58.94162364788949,94.3886085983005
0.175,60.40321129252451,94.8500948098671
0.175999,61.1191601674267,95.30935240484173
0.177,62.36300415718024,95.76822396770295
0.177999,63.49718374679334,96.22487954067553
0.179,64.5032153763699,96.68115126868211
0.179999,65.42337384223626,97.13521956196409
0.181,66.23679646079991,97.58890618503571
0.181999,66.983596817023,98.04040185741286
0.183,68.25396713884668,98.49151802201371
0.183999,68.79905042632362,98.9404556492192
0.185,69.27489538476105,99.38901591883081
0.185999,69.71788584718128,99.83540999401606
0.187,70.10186726316239,100.28142884960741
0.187999,71.07636053844328,100.72529378380959
0.189,71.32447448496492,101.16878562430472
0.189999,72.1767070375998,101.61013574691238
0.191,72.92776633473719,102.051114889655
0.191999,73.00546970134702,102.48996444887035
0.193,73.67365273185897,102.92844513008637
0.193999,73.67676745867577,103.36480829338544
0.195,74.27782071327935,103.80080466864226
0.195999,74.220518641911,104.23469552323223
0.197,74.76719677806702,104.66822166789596
0.197999,74.66097710019962,105.09965422116986
