time,measured,predicted
0.074,-0.0023065290681455546,83.19187786194519
0.075,-0.0020758201568708235,84.40556236358792
0.076,-0.0018681927798962607,85.6159886537629
0.077,-0.0016813367609587672,86.82316547934121
0.078,-0.001513173325930686,88.02710156371256
0.079,-0.0013618318895032072,89.22780560684804
0.08,-0.0012256291771035718,90.42528628536327
0.081,-0.0011030504458778773,91.61955225258082
0.082,-0.000992732592691556,92.81061213859297
0.083,-0.000893448958711919,93.998474550324
0.084,-0.000804095659510638,95.18314807159229
0.085,-0.0007236792869973547,96.36464126317236
0.086,-0.000651305845080745,97.54296266285706
0.087,-0.0005861707949388243,98.71812078551872
0.088,-0.0005275500983338835,99.89012412317116
0.089,-0.00047479215867870524,101.0589811450308
0.09,-0.0004273105696830084,102.22470029757783
0.091,-0.0003845775905014513,103.38729000461747
0.092,-0.0003461182744733547,104.54675866734064
0.093,-0.0003115051858846575,105.70311466438474
0.094,-0.0002803536457795465,106.8563663518943
0.095,-0.00025231745377883737,108.00652206358114
0.096,-0.00022708503819269835,109.15359011078468
0.097,-0.00020437599150778592,110.2975787825322
0.098,-0.000183937952638056,111.43849634559848
0.099,-0.00016554380120351758,112.57635104456556
0.1,-0.00014898913258605157,113.71115110188249
0.101,-0.00013408998564564363,114.84290471792461
0.102,-0.00012068079779944575,115.97162007105281
0.103,-0.00010861256470183492,117.0973053176727
0.104,-9.775118404467484e-05,118.21996859229354
0.105,-8.797596504899912e-05,119.33961800758694
0.106,-7.917828706539756e-05,120.4562616544455
0.107,-7.12603923612385e-05,121.56990760204154
0.108,-6.413429966713709e-05,122.68056389788477
0.109,-5.772082639953013e-05,123.7882385678813
0.11,-5.194870868590358e-05,124.89293961639099
0.111,-4.6753809407674095e-05,125.9946750262854
0.112,-4.207840545512556e-05,127.09345275900584
0.113,-3.7870546270089664e-05,128.18928075462037
0.114,-2.4544138684100587,129.2821669318816
0.114999,-4.665810416172936,130.37103069889747
0.116,-7.877119744663501,131.45914540011955
0.116999,-10.77465619136938,132.54217076954166
0.118,-13.375077374126237,133.62445108959884
0.118999,-15.722815163570912,134.70166936643284
0.12,-17.82841810837228,135.77814658879504
0.120999,-19.730819925106136,136.84958891019187
0.122,-21.43561085827885,137.92029415058977
0.122999,-21.74888025630757,138.98599148674532
0.124,-21.41293176368001,140.0509556940695
0.124999,-20.500047445224283,141.11093884912043
0.126,-19.063021082655485,142.17019280631604
0.126999,-17.156717042595528,143.2244924192292
0.128,-14.828063214523452,144.27806674418594
0.128999,-12.11684466761885,145.32671328964517
0.13,-8.453237494374825,146.3746384360819
0.130999,-5.765291957794611,147.41766222536796
0.132,-2.7368409498330513,148.4599684837135
0.132999,-0.0063353843435489795,149.49739966558047
0.134,3.05919963993265,150.5341171638487
0.134999,5.210110614216766,151.56598572539588
0.136,7.7540005515286365,152.59714443005674
0.136999,9.435431090493843,153.6234801975948
0.138,10.943808461118646,154.64910991444066
0.138999,11.692047829157435,155.66994255435412
0.14,12.361783218755795,156.69007292936084
0.140999,11.739814752691181,157.70543194896555
0.142,10.565833032477551,158.72009246914996
0.142999,9.50924953082475,159.73000721754613
0.144,7.9453443134394375,160.73922721181805
0.144999,5.922399574402275,161.7437268807381
0.146,3.491219284154182,162.74753552074827
0.146999,0.6852670100389034,163.7466491454012
0.148,-0.6092198345004036,164.74507544638408
0.148999,-1.162507906265131,165.73883190629448
0.15,-1.0462571051976104,166.73190472790765
0.150999,-0.32742133657216244,167.72033274775026
0.152,0.9312808886553188,168.70808079490791
0.152999,2.680772914337375,169.69120894533847
0.154,4.864615751591584,170.67366076904142
0.154999,6.83498428093006,171.651517467522
0.156,9.216385966503992,172.62870146568298
0.156999,11.979987488572378,173.60131497730362
0.158,15.072848859291957,174.57325939556824
0.158999,17.86501407051888,175.54065783386386
0.16,20.369372741894438,176.50739076642674
0.160999,23.2460855487844,177.46960209418978
0.162,26.438287074880197,178.43115148460686
0.162999,29.322318433233576,179.3882035146957
0.164,31.906896643014708,180.34459715669192
0.164999,34.24406702193221,181.29651755283442
0.166,36.94945036476416,182.24778309110695
0.166999,39.39657536494207,183.19459936870078
0.168,41.586707857972335,184.14076429971834
0.168999,43.57009709623878,185.08250382662544
0.17,45.34287740597251,186.02359549942287
0.170999,47.564859687211595,186.96028549676117
0.172,48.93816373063686,187.89633111373007
0.172999,51.41482737728792,188.8279986566602
0.174,53.016114651031046,189.75902527433516
0.174999,54.470783195307305,190.6856972928428
0.176,55.76647488329546,191.61173182268357
