i,timestamp,count,position,velocity,step,pwm
0,28297675,0,-0.0000,-9167.3604,0.200000,1580
1,28298676,0,-0.0000,-6417.1523,0.200000,1580
2,28299676,0,-0.0000,-4492.0063,0.200000,1580
3,28300676,0,-0.0000,-3144.4043,0.200000,1580
4,28301676,0,-0.0000,-2201.0830,0.200000,1580
5,28302676,0,-0.0000,-1540.7581,0.200000,1580
6,28303676,0,-0.0000,-1078.5306,0.200000,1580
7,28304676,0,-0.0000,-754.9714,0.200000,1580
8,28305676,0,-0.0000,-528.4800,0.200000,1580
9,28306676,0,-0.0000,-369.9360,0.200000,1580
10,28307676,0,-0.0000,-258.9552,0.200000,1580
11,28308676,0,-0.0000,-181.2686,0.200000,1580
12,28309676,0,-0.0000,-126.8880,0.200000,1580
13,28310676,0,-0.0000,-88.8216,0.200000,1580
14,28311676,0,-0.0000,-62.1751,0.200000,1580
15,28312676,0,-0.0000,-43.5226,0.200000,1580
16,28313676,0,-0.0000,-30.4658,0.200000,1580
17,28314676,0,-0.0000,-21.3261,0.200000,1580
18,28315676,0,-0.0000,-14.9282,0.200000,1580
19,28316676,0,-0.0000,-10.4498,0.200000,1580
20,28317676,0,-0.0000,-7.3148,0.200000,1580
21,28318676,0,-0.0000,-5.1204,0.200000,1580
22,28319676,0,-0.0000,-3.5843,0.200000,1580
23,28320676,0,-0.0000,-2.5090,0.200000,1580
24,28321676,0,-0.0000,-1.7563,0.200000,1580
25,28322676,0,-0.0000,-1.2294,0.200000,1580
26,28323676,0,-0.0000,-0.8606,0.200000,1580
27,28324676,0,-0.0000,-0.6024,0.200000,1580
28,28325676,0,-0.0000,-0.4217,0.200000,1580
29,28326676,0,-0.0000,-0.2952,0.200000,1580
30,28327676,0,-0.0000,-0.2066,0.200000,1580
31,28328676,0,-0.0000,-0.1446,0.200000,1580
32,28329676,0,-0.0000,-0.1012,0.200000,1580
33,28330676,0,-0.0000,-0.0709,0.200000,1580
34,28331676,0,-0.0000,-0.0496,0.200000,1580
35,28332676,0,-0.0000,-0.0347,0.200000,1580
36,28333676,0,-0.0000,-0.0243,0.200000,1580
37,28334676,0,-0.0000,-0.0170,0.200000,1580
38,28335676,0,-0.0000,-0.0119,0.200000,1580
39,28336676,0,-0.0000,-0.0083,0.200000,1580
40,28337676,0,-0.0000,-0.0058,0.200000,1580
41,28338676,0,-0.0000,-0.0041,0.200000,1580
42,28339676,0,-0.0000,-0.0029,0.200000,1580
43,28340676,0,-0.0000,-0.0020,0.200000,1580
44,28341676,0,-0.0000,-0.0014,0.200000,1580
45,28342676,0,-0.0000,-0.0010,0.200000,1580
46,28343676,0,-0.0000,-0.0007,0.200000,1580
47,28344676,0,-0.0000,-0.0005,0.200000,1580
48,28345676,0,-0.0000,-0.0003,0.200000,1580
49,28346676,0,-0.0000,-0.0002,0.200000,1580
50,28347676,0,-0.0000,-0.0002,0.200000,1580
51,28348676,0,-0.0000,-0.0001,0.200000,1580
52,28349676,0,-0.0000,-0.0001,0.200000,1580
53,28350676,0,-0.0000,-0.0001,0.200000,1580
54,28351676,0,-0.0000,-0.0000,0.200000,1580
55,28352676,0,-0.0000,-0.0000,0.200000,1580
56,28353676,0,-0.0000,-0.0000,0.200000,1580
57,28354676,0,-0.0000,-0.0000,0.200000,1580
58,28355676,0,-0.0000,-0.0000,0.200000,1580
59,28356676,0,-0.0000,-0.0000,0.200000,1580
60,28357676,0,-0.0000,-0.0000,0.200000,1580
61,28358676,0,-0.0000,-0.0000,0.200000,1580
62,28359676,0,-0.0000,-0.0000,0.200000,1580
63,28360676,0,-0.0000,-0.0000,0.200000,1580
64,28361676,0,-0.0000,-0.0000,0.200000,1580
65,28362676,0,-0.0000,-0.0000,0.200000,1580
66,28363676,0,-0.0000,-0.0000,0.200000,1580
67,28364676,0,-0.0000,-0.0000,0.200000,1580
68,28365676,0,-0.0000,-0.0000,0.200000,1580
69,28366676,0,-0.0000,-0.0000,0.200000,1580
70,28367676,0,-0.0000,-0.0000,0.200000,1580
71,28368676,0,-0.0000,-0.0000,0.200000,1580
72,28369676,0,-0.0000,-0.0000,0.200000,1580
73,28370676,0,-0.0000,-0.0000,0.200000,1580
74,28371676,0,-0.0000,-0.0000,0.200000,1580
75,28372676,0,-0.0000,-0.0000,0.200000,1580
76,28373676,0,-0.0000,-0.0000,0.200000,1580
77,28374676,0,-0.0000,-0.0000,0.200000,1580
78,28375676,0,-0.0000,-0.0000,0.200000,1580
79,28376676,0,-0.0000,-0.0000,0.200000,1580
80,28377676,0,-0.0000,-0.0000,0.200000,1580
81,28378676,0,-0.0000,-0.0000,0.200000,1580
82,28379676,0,-0.0000,-0.0000,0.200000,1580
83,28380676,0,-0.0000,-0.0000,0.200000,1580
84,28381676,0,-0.0000,-0.0000,0.200000,1580
85,28382676,0,-0.0000,-0.0000,0.200000,1580
86,28383676,0,-0.0000,-0.0000,0.200000,1580
87,28384676,0,-0.0000,-0.0000,0.200000,1580
88,28385676,0,-0.0000,-0.0000,0.200000,1580
89,28386676,0,-0.0000,-0.0000,0.200000,1580
90,28387676,0,-0.0000,-0.0000,0.200000,1580
91,28388676,0,-0.0000,-0.0000,0.200000,1580
92,28389676,0,-0.0000,-0.0000,0.200000,1580
93,28390676,0,-0.0000,-0.0000,0.200000,1580
94,28391676,0,-0.0000,-0.0000,0.200000,1580
95,28392676,0,-0.0000,-0.0000,0.200000,1580
96,28393676,0,-0.0000,-0.0000,0.200000,1580
97,28394676,0,-0.0000,-0.0000,0.200000,1580
98,28395676,0,-0.0000,-0.0000,0.200000,1580
99,28396676,0,-0.0000,-0.0000,0.200000,1580
100,28397676,0,-0.0000,-0.0000,0.200000,1580
101,28398676,0,-0.0000,-0.0000,0.200000,1580
102,28399676,0,-0.0000,-0.0000,0.200000,1580
103,28400676,0,-0.0000,-0.0000,0.200000,1580
104,28401676,0,-0.0000,-0.0000,0.200000,1580
105,28402676,0,-0.0000,-0.0000,0.200000,1580
106,28403676,0,-0.0000,-0.0000,0.200000,1580
107,28404676,0,-0.0000,-0.0000,0.200000,1580
108,28405676,0,-0.0000,-0.0000,0.200000,1580
109,28406676,0,-0.0000,-0.0000,0.200000,1580
110,28407676,0,-0.0000,-0.0000,0.200000,1580
111,28408676,1,-0.0061,-0.9204,0.200000,1580
112,28409676,2,-0.0123,-1.5647,0.200000,1580
113,28410676,6,-0.0368,-4.7768,0.200000,1580
114,28411676,10,-0.0614,-7.0253,0.200000,1580
115,28412676,15,-0.0920,-9.5197,0.200000,1580
116,28413676,20,-0.1227,-11.2657,0.200000,1580
117,28414676,27,-0.1657,-14.3287,0.200000,1580
118,28415676,34,-0.2086,-16.4728,0.200000,1580
119,28416676,41,-0.2516,-17.9737,0.200000,1580
120,28417676,49,-0.3007,-19.9447,0.200000,1580
