i,timestamp,count,position,velocity,step,pwm
0,77583342,0,-0.0000,0.0000,0.400000,1660
1,77584341,0,-0.0000,0.0000,0.400000,1660
2,77585340,0,-0.0000,0.0000,0.400000,1660
3,77586341,0,-0.0000,0.0000,0.400000,1660
4,77587341,0,-0.0000,0.0000,0.400000,1660
5,77588341,0,-0.0000,0.0000,0.400000,1660
6,77589341,0,-0.0000,0.0000,0.400000,1660
7,77590341,0,-0.0000,0.0000,0.400000,1660
8,77591341,0,-0.0000,0.0000,0.400000,1660
9,77592341,0,-0.0000,0.0000,0.400000,1660
10,77593341,0,-0.0000,0.0000,0.400000,1660
11,77594341,0,-0.0000,0.0000,0.400000,1660
12,77595341,0,-0.0000,0.0000,0.400000,1660
13,77596341,0,-0.0000,0.0000,0.400000,1660
14,77597341,0,-0.0000,0.0000,0.400000,1660
15,77598341,0,-0.0000,0.0000,0.400000,1660
16,77599341,0,-0.0000,0.0000,0.400000,1660
17,77600341,0,-0.0000,0.0000,0.400000,1660
18,77601341,0,-0.0000,0.0000,0.400000,1660
19,77602341,0,-0.0000,0.0000,0.400000,1660
20,77603341,0,-0.0000,0.0000,0.400000,1660
21,77604341,0,-0.0000,0.0000,0.400000,1660
22,77605341,0,-0.0000,0.0000,0.400000,1660
23,77606341,0,-0.0000,0.0000,0.400000,1660
24,77607341,0,-0.0000,0.0000,0.400000,1660
25,77608341,0,-0.0000,0.0000,0.400000,1660
26,77609341,0,-0.0000,0.0000,0.400000,1660
27,77610341,0,-0.0000,0.0000,0.400000,1660
28,77611341,0,-0.0000,0.0000,0.400000,1660
29,77612341,0,-0.0000,0.0000,0.400000,1660
30,77613341,0,-0.0000,0.0000,0.400000,1660
31,77614341,0,-0.0000,0.0000,0.400000,1660
32,77615341,0,-0.0000,0.0000,0.400000,1660
33,77616341,0,-0.0000,0.0000,0.400000,1660
34,77617341,0,-0.0000,0.0000,0.400000,1660
35,77618341,0,-0.0000,0.0000,0.400000,1660
36,77619341,0,-0.0000,0.0000,0.400000,1660
37,77620341,0,-0.0000,0.0000,0.400000,1660
38,77621341,0,-0.0000,0.0000,0.400000,1660
39,77622341,0,-0.0000,0.0000,0.400000,1660
40,77623341,0,-0.0000,0.0000,0.400000,1660
41,77624341,0,-0.0000,0.0000,0.400000,1660
42,77625341,0,-0.0000,0.0000,0.400000,1660
43,77626341,0,-0.0000,0.0000,0.400000,1660
44,77627341,0,-0.0000,0.0000,0.400000,1660
45,77628341,0,-0.0000,0.0000,0.400000,1660
46,77629341,0,-0.0000,0.0000,0.400000,1660
47,77630341,0,-0.0000,0.0000,0.400000,1660
48,77631341,0,-0.0000,0.0000,0.400000,1660
49,77632341,0,-0.0000,0.0000,0.400000,1660
50,77633341,0,-0.0000,0.0000,0.400000,1660
51,77634341,0,-0.0000,0.0000,0.400000,1660
52,77635341,0,-0.0000,0.0000,0.400000,1660
53,77636341,0,-0.0000,0.0000,0.400000,1660
54,77637341,0,-0.0000,0.0000,0.400000,1660
55,77638341,0,-0.0000,0.0000,0.400000,1660
56,77639341,0,-0.0000,0.0000,0.400000,1660
57,77640341,0,-0.0000,0.0000,0.400000,1660
58,77641341,0,-0.0000,0.0000,0.400000,1660
59,77642341,0,-0.0000,0.0000,0.400000,1660
60,77643341,0,-0.0000,0.0000,0.400000,1660
61,77644341,0,-0.0000,0.0000,0.400000,1660
62,77645341,0,-0.0000,0.0000,0.400000,1660
63,77646341,0,-0.0000,0.0000,0.400000,1660
64,77647341,0,-0.0000,0.0000,0.400000,1660
65,77648341,0,-0.0000,0.0000,0.400000,1660
66,77649341,0,-0.0000,0.0000,0.400000,1660
67,77650341,0,-0.0000,0.0000,0.400000,1660
68,77651341,0,-0.0000,0.0000,0.400000,1660
69,77652341,0,-0.0000,0.0000,0.400000,1660
70,77653341,0,-0.0000,0.0000,0.400000,1660
71,77654341,0,-0.0000,0.0000,0.400000,1660
72,77655341,0,-0.0000,0.0000,0.400000,1660
73,77656341,0,-0.0000,0.0000,0.400000,1660
74,77657341,0,-0.0000,0.0000,0.400000,1660
75,77658341,0,-0.0000,0.0000,0.400000,1660
76,77659341,0,-0.0000,0.0000,0.400000,1660
77,77660341,0,-0.0000,0.0000,0.400000,1660
78,77661341,0,-0.0000,0.0000,0.400000,1660
79,77662341,0,-0.0000,0.0000,0.400000,1660
80,77663341,0,-0.0000,0.0000,0.400000,1660
81,77664341,0,-0.0000,0.0000,0.400000,1660
82,77665341,0,-0.0000,0.0000,0.400000,1660
83,77666341,0,-0.0000,0.0000,0.400000,1660
84,77667341,0,-0.0000,0.0000,0.400000,1660
85,77668341,0,-0.0000,0.0000,0.400000,1660
86,77669341,0,-0.0000,0.0000,0.400000,1660
87,77670341,0,-0.0000,0.0000,0.400000,1660
88,77671341,0,-0.0000,0.0000,0.400000,1660
89,77672341,0,-0.0000,0.0000,0.400000,1660
90,77673341,0,-0.0000,0.0000,0.400000,1660
91,77674341,0,-0.0000,0.0000,0.400000,1660
92,77675341,0,-0.0000,0.0000,0.400000,1660
93,77676341,0,-0.0000,0.0000,0.400000,1660
94,77677341,0,-0.0000,0.0000,0.400000,1660
95,77678341,0,-0.0000,0.0000,0.400000,1660
96,77679341,0,-0.0000,0.0000,0.400000,1660
97,77680341,0,-0.0000,0.0000,0.400000,1660
98,77681341,0,-0.0000,0.0000,0.400000,1660
99,77682341,0,-0.0000,0.0000,0.400000,1660
100,77683341,0,-0.0000,0.0000,0.400000,1660
101,77684341,0,-0.0000,0.0000,0.400000,1660
102,77685341,0,-0.0000,0.0000,0.400000,1660
103,77686341,0,-0.0000,0.0000,0.400000,1660
104,77687341,0,-0.0000,0.0000,0.400000,1660
105,77688341,0,-0.0000,0.0000,0.400000,1660
106,77689341,0,-0.0000,0.0000,0.400000,1660
107,77690341,0,-0.0000,0.0000,0.400000,1660
108,77691341,0,-0.0000,0.0000,0.400000,1660
109,77692341,0,-0.0000,0.0000,0.400000,1660
110,77693341,0,-0.0000,0.0000,0.400000,1660
111,77694341,0,-0.0000,0.0000,0.400000,1660
112,77695341,0,-0.0000,0.0000,0.400000,1660
113,77696341,0,-0.0000,0.0000,0.400000,1660
114,77697341,0,-0.0000,0.0000,0.400000,1660
115,77698341,0,-0.0000,0.0000,0.400000,1660
116,77699341,0,-0.0000,0.0000,0.400000,1660
117,77700341,0,-0.0000,0.0000,0.400000,1660
118,77701341,2,-0.0123,-1.8408,0.400000,1660
119,77702341,5,-0.0307,-4.0497,0.400000,1660
120,77703341,10,-0.0614,-7.4367,0.400000,1660
121,77704341,14,-0.0920,-9.8077,0.400000,1660
122,77705341,20,-0.1227,-11.4673,0.400000,1660
123,77706341,27,-0.1657,-8.0271,0.400000,1660
124,77707341,34,-0.2086,-5.6190,0.400000,1660
125,77708341,41,-0.2516,-3.9333,0.400000,1660
126,77709341,49,-0.3007,-2.7533,0.400000,1660
127,77710341,57,-0.3497,-1.9273,0.400000,1660
